,record_id,user_id,role,education_level,subject_area,ai_tool,ai_use_purpose,ai_use_frequency_per_week,session_count,avg_session_duration_min,tasks_completed,hints_requested,text_feedback,sentiment_label,sentiment_polarity,subjectivity,emotion_primary,pre_test_score,post_test_score,improvement,adaptive_difficulty_start,adaptive_difficulty_end,recommended_resources_count,perceived_usefulness,perceived_ease_of_use,trust_score,adoption_intention,satisfaction_score,ethical_concern_privacy,ethical_concern_plagiarism,dropout_flag,timestamp
0,1,S439563,student,graduate,Physics,LLM Assistant,summarization,5,22,18,63,4,"I evaluated the LLM Assistant for summarization in Physics at the graduate level; it reduced my effort on key goals significantly.Feeling anxiety, it sometimes confused me and I remain cautious about fairness and transparency. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note 67a39d)",negative,-0.676,0.526,anxiety,66,67,1,1,4,8,2,3,3,2,2,3,5,0,2/8/2023 2:56
1,2,S229815,student,graduate,Sociology,Concept Mapper,brainstorming,3,27,8,85,8,"I evaluated the Concept Mapper for brainstorming in Sociology at the graduate level; it clarified key goals considerably. Feeling anticipation, the pace felt unchanged and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note 610923)",neutral,-0.09,0.311,anticipation,60,78,18,2,1,5,1,4,3,2,4,2,4,0,5/17/2023 9:53
2,3,S698951,student,undergraduate,Chemistry,AI Tutor,note organization,0,21,10,82,15,"I adopted the AI Tutor for note organization in Chemistry at the undergraduate level; it gave me better feedback about key goals moderately. Feeling neutral, results were mixed and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note bf97a2)",neutral,0.024,0.448,neutral,61,72,11,2,3,4,2,2,3,5,3,3,5,0,11/18/2023 15:53
3,4,S414834,student,undergraduate,Law,Quiz Generator,language translation,3,26,19,53,6,"I evaluated the Quiz Generator for language translation in Law at the undergraduate level; it helped me grasp key goals considerably.  Feeling joy, I felt more motivated and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note f178f1)",positive,0.289,0.609,joy,45,60,15,2,4,5,2,4,5,4,3,2,2,0,6/5/2023 16:41
4,5,S708064,student,undergraduate,Computer Science,AI Tutor,concept explanation,2,17,26,50,8,"I evaluated the AI Tutor for concept explanation in Computer Science at the undergraduate level; it sped up my study of key goals slightly.Feeling joy, I finished tasks faster than usual and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note 23e7ad)",positive,0.246,0.751,joy,86,100,14,2,3,9,4,2,4,5,4,2,3,0,4/1/2024 9:42
5,6,S328807,student,undergraduate,English,Code Copilot,coding help,2,23,25,83,10,"I regularly use the Code Copilot for coding help in English at the undergraduate level; it streamlined my work on key goals . Feeling anticipation, we could tackle harder problems and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, noticeably optimistic. (note 3e416f)",positive,0.26,0.625,anticipation,73,89,16,2,3,4,4,5,5,4,4,2,3,0,5/21/2023 14:41
6,7,S258647,student,K-12,History,LLM Assistant,language translation,3,15,20,45,13,"I adopted the LLM Assistant for language translation in History at the K-12 level; it sped up my study of key goals considerably.Feeling fear, it added extra steps and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note 622a66)",negative,-0.753,0.502,fear,68,80,12,2,3,7,4,3,2,3,3,4,4,0,1/14/2024 20:48
7,8,S917857,student,professional-development,Sociology,Speech Coach,coding help,5,23,12,67,8,"I briefly used the Speech Coach for coding help in Sociology at the professional-development level; it clarified key goals considerably.Feeling anticipation, I felt more motivated and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note 868f94)",positive,0.278,0.717,anticipation,64,80,16,3,3,9,4,3,3,4,4,2,1,0,3/10/2023 7:07
8,9,S662685,student,K-12,Chemistry,Concept Mapper,brainstorming,3,16,6,62,5,"I experimented with the Concept Mapper for brainstorming in Chemistry at the K-12 level; it gave me better feedback about key goals noticeably. – Feeling trust, I felt more motivated and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note ac509b)",positive,0.661,0.474,trust,72,80,8,1,2,5,4,3,4,3,4,1,3,0,12/22/2023 20:33
9,10,S251118,student,K-12,Chemistry,Explainability Bot,language translation,3,33,28,27,11,"I regularly use the Explainability Bot for language translation in Chemistry at the K-12 level; it helped me grasp key goals .  Feeling fear, it distracted from core skills and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note d55209)",negative,-0.563,0.592,fear,82,89,7,1,3,12,1,3,4,2,3,3,3,0,1/6/2024 5:00
